Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,Fatal(1),Destroyed,Airplane,Piper,28-151,1.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,340A,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172H,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Mooney,M20C,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,A185F,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-32-260,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,Fatal(1),Destroyed,Airplane,Cessna,172N,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC
Incident,Incident,NOT KNOWN,Airplane,Beech,B200,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,2.0,VMC
Accident,Fatal(1),Destroyed,Airplane,Cessna,150,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC
Incident,Incident,Minor,Airplane,Piper,Pa-28R-201T,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Mooney,M20J,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC
Accident,Fatal(1),Substantial,Airplane,Cessna,Tr182,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Aeronca,7Ac,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
